id,name,type,subtype,misc,coordSys
29,^(map_china|china_map)$,map,"c(""sum"",""average"",""scale"",""move"",""\u65B0\u7586"",""\u897F\u85CF"",""\u5185\u8499\u53E4"",""\u9752\u6D77"",""\u56DB\u5DDD"",""\u9ED1\u9F99\u6C5F"",""\u7518\u8083"",""\u4E91\u5357"",""\u5E7F\u897F"",""\u6E56\u5357"",""\u9655\u897F"",""\u5E7F\u4E1C"",""\u5409\u6797"",""\u6CB3\u5317"",""\u6E56\u5317"",""\u8D35\u5DDE"",""\u5C71\u4E1C"",""\u6C5F\u897F"",""\u6CB3\u5357"",""\u8FBD\u5B81"",""\u5C71\u897F"",""\u5B89\u5FBD"",""\u798F\u5EFA"",""\u6D59\u6C5F"",""\u6C5F\u82CF"",""\u91CD\u5E86"",""\u5B81\u590F"",""\u6D77\u5357"",""\u53F0\u6E7E"",""\u5317\u4EAC"",""\u5929\u6D25"",""\u4E0A\u6D77"",""\u9999\u6E2F"",""\u6FB3\u95E8"",""xinjiang"",""xizang"",""neimenggu"",""qinghai"",""sichuan"",""heilongjiang"",""gansu"",""yunnan"",""guangxi"",""hunan"",""shanxi1"",""guangdong"",""jilin"",""hebei"",""hubei"",""guizhou"",""shandong"",""jiangxi"",""henan"",""liaoning"",""shanxi"",""anhui"",""fujian"",""zhejiang"",""jiangsu"", ""chongqing"",""ningxia"",""hainan"",""taiwan"",""beijing"",""tianjin"",""shanghai"",""xianggang"", ""aomen"")",china,
30,^(map_world_multi|world_map_multi)$,map,"c(""sum"",""average"",""scale"",""move"",""Afghanistan"",""Angola"",""Albania"",""United Arab Emirates"",""Argentina"",""Armenia"",""French Southern and Antarctic Lands"",""Australia"",""Austria"",""Azerbaijan"",""Burundi"",""Belgium"",""Benin"",""Burkina Faso"",""Bangladesh"",""Bulgaria"",""The Bahamas"",""Bosnia and Herzegovina"",""Belarus"",""Belize"",""Bermuda"",""Bolivia"",""Brazil"",""Brunei"",""Bhutan"",""Botswana"",""Central African Republic"",""Canada"",""Switzerland"",""Chile"",""China"",""Ivory Coast"",""Cameroon"",""Democratic Republic of the Congo"",""Republic of the Congo"",""Colombia"",""Costa Rica"",""Cuba"",""Northern Cyprus"",""Cyprus"",""Czech Republic"",""Germany"",""Djibouti"",""Denmark"",""Dominican Republic"",""Algeria"",""Ecuador"",""Egypt"",""Eritrea"",""Spain"",""Estonia"",""Ethiopia"",""Finland"",""Fiji"",""Falkland Islands"",""France"",""Gabon"",""United Kingdom"",""Georgia"",""Ghana"",""Guinea"",""Gambia"",""Guinea Bissau"",""Equatorial Guinea"",""Greece"",""Greenland"",""Guatemala"",""French Guiana"",""Guyana"",""Honduras"",""Croatia"",""Haiti"",""Hungary"",""Indonesia"",""India"",""Ireland"",""Iran"",""Iraq"",""Iceland"",""Israel"",""Italy"",""Jamaica"",""Jordan"",""Japan"",""Kazakhstan"",""Kenya"",""Kyrgyzstan"",""Cambodia"",""South Korea"",""Kosovo"",""Kuwait"",""Laos"",""Lebanon"",""Liberia"",""Libya"",""Sri Lanka"",""Lesotho"",""Lithuania"",""Luxembourg"",""Latvia"",""Morocco"",""Moldova"",""Madagascar"",""Mexico"",""Macedonia"",""Mali"",""Myanmar"",""Montenegro"",""Mongolia"",""Mozambique"",""Mauritania"",""Malawi"",""Malaysia"",""Namibia"",""New Caledonia"",""Niger"",""Nigeria"",""Nicaragua"",""Netherlands"",""Norway"",""Nepal"",""New Zealand"",""Oman"",""Pakistan"",""Panama"",""Peru"",""Philippines"",""Papua New Guinea"",""Poland"",""Puerto Rico"",""North Korea"",""Portugal"",""Paraguay"",""Qatar"",""Romania"",""Russia"",""Rwanda"",""Western Sahara"",""Saudi Arabia"",""Sudan"",""South Sudan"",""Senegal"",""Solomon Islands"",""Sierra Leone"",""El Salvador"",""Somaliland"",""Somalia"",""Republic of Serbia"",""Suriname"",""Slovakia"",""Slovenia"",""Sweden"",""Swaziland"",""Syria"",""Chad"",""Togo"",""Thailand"",""Tajikistan"",""Turkmenistan"",""East Timor"",""Trinidad and Tobago"",""Tunisia"",""Turkey"",""United Republic of Tanzania"",""Uganda"",""Ukraine"",""Uruguay"",""United States of America"",""Uzbekistan"",""Venezuela"",""Vietnam"",""Vanuatu"",""West Bank"",""Yemen"",""South Africa"",""Zambia"",""Zimbabwe"")",world_multi,
31,^(map_china_multi|china_map_multi)$,map,"c(""sum"",""average"",""scale"",""move"",""\u65B0\u7586"",""\u897F\u85CF"",""\u5185\u8499\u53E4"",""\u9752\u6D77"",""\u56DB\u5DDD"",""\u9ED1\u9F99\u6C5F"",""\u7518\u8083"",""\u4E91\u5357"",""\u5E7F\u897F"",""\u6E56\u5357"",""\u9655\u897F"",""\u5E7F\u4E1C"",""\u5409\u6797"",""\u6CB3\u5317"",""\u6E56\u5317"",""\u8D35\u5DDE"",""\u5C71\u4E1C"",""\u6C5F\u897F"",""\u6CB3\u5357"",""\u8FBD\u5B81"",""\u5C71\u897F"",""\u5B89\u5FBD"",""\u798F\u5EFA"",""\u6D59\u6C5F"",""\u6C5F\u82CF"",""\u91CD\u5E86"",""\u5B81\u590F"",""\u6D77\u5357"",""\u53F0\u6E7E"",""\u5317\u4EAC"",""\u5929\u6D25"",""\u4E0A\u6D77"",""\u9999\u6E2F"",""\u6FB3\u95E8"",""xinjiang"",""xizang"",""neimenggu"",""qinghai"",""sichuan"",""heilongjiang"",""gansu"",""yunnan"",""guangxi"",""hunan"",""shanxi1"",""guangdong"",""jilin"",""hebei"",""hubei"",""guizhou"",""shandong"",""jiangxi"",""henan"",""liaoning"",""shanxi"",""anhui"",""fujian"",""zhejiang"",""jiangsu"", ""chongqing"",""ningxia"",""hainan"",""taiwan"",""beijing"",""tianjin"",""shanghai"",""xianggang"", ""aomen"")",china_multi,
32,^(map)$,map,"""newmap""",geojson,
33,^(k|candlestick)$,candlestick,,,cartesian2d
34,^(pie)$,pie,"c(""multi"",""clock"",""clockwise"")",,
35,^(ring)$,pie,"c(""info"",""multi"",""clock"",""clockwise"")",ring,
36,^(rose)$,pie,"c(""area"",""radius"",""multi"",""clock"",""clockwise"")",rose,
37,^(graph)$,graph,,none,
38,^(chord)$,graph,"c(""ribbon"",""scale"",""scaletext"",""rotatelab"",""hidelab"",""clock"",""clockwise"",""asc"",""desc"",""ascsub"",""descsub"")",circular,
39,^(force|force_curve)$,graph,"c(""arrow"",""triangle"")",force,
40,^(force_line)$,graph,"c(""arrow"",""triangle"")",force,
41,^(graph_2d)$,graph,,none,cartesian2d
42,^(chord_2d)$,graph,"c(""ribbon"",""scale"",""scaletext"",""rotatelab"",""hidelab"",""clock"",""clockwise"",""asc"",""desc"",""ascsub"",""descsub"")",circular,cartesian2d
43,^(force_2d|force_curve_2d)$,graph,"c(""arrow"",""triangle"")",force,cartesian2d
44,^(force_line_2d)$,graph,"c(""arrow"",""triangle"")",force,cartesian2d
